train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
2.1835989952087402,0,49,,,,
2.0199666023254395,0,99,,,,
1.408016324043274,0,149,,,,
0.8830307722091675,0,199,,,,
0.7810867428779602,0,249,,,,
0.5205893516540527,0,299,,,,
0.4530034363269806,0,349,,,,
0.43725720047950745,0,399,,,,
0.503739595413208,0,449,,,,
0.29572024941444397,0,499,,,,
0.35391491651535034,0,549,,,,
0.34211301803588867,0,599,,,,
0.3068012297153473,0,649,,,,
0.24474865198135376,0,699,,,,
0.4223181903362274,0,749,,,,
0.32106664776802063,0,799,,,,
0.3375868797302246,0,849,,,,
,0,858,0.36325961351394653,0.8894000053405762,,
,0,858,,,0.7719550132751465,
0.6225141286849976,1,899,,,,
0.3613588809967041,1,949,,,,
0.27761730551719666,1,999,,,,
0.6224241852760315,1,1049,,,,
0.47764915227890015,1,1099,,,,
0.10220944881439209,1,1149,,,,
0.2853221297264099,1,1199,,,,
0.3685789108276367,1,1249,,,,
0.20894435048103333,1,1299,,,,
0.2403324693441391,1,1349,,,,
0.43167680501937866,1,1399,,,,
0.3206298053264618,1,1449,,,,
0.7011522650718689,1,1499,,,,
0.19128049910068512,1,1549,,,,
0.2501254975795746,1,1599,,,,
0.5656808018684387,1,1649,,,,
0.25261393189430237,1,1699,,,,
,1,1717,0.26001831889152527,0.9251999855041504,,
,1,1717,,,0.9143262505531311,
0.3068954348564148,2,1749,,,,
0.30206748843193054,2,1799,,,,
0.1853594332933426,2,1849,,,,
0.3413724899291992,2,1899,,,,
0.47835713624954224,2,1949,,,,
0.14526718854904175,2,1999,,,,
0.19231773912906647,2,2049,,,,
0.051707543432712555,2,2099,,,,
0.43379268050193787,2,2149,,,,
0.2888961434364319,2,2199,,,,
0.2690633237361908,2,2249,,,,
0.2937217950820923,2,2299,,,,
0.18062978982925415,2,2349,,,,
0.15138672292232513,2,2399,,,,
0.19797271490097046,2,2449,,,,
0.17600804567337036,2,2499,,,,
0.06727124750614166,2,2549,,,,
,2,2576,0.21086885035037994,0.9368000030517578,,
,2,2576,,,0.9325523972511292,
0.1762130856513977,3,2599,,,,
0.15701143443584442,3,2649,,,,
0.30628469586372375,3,2699,,,,
0.26883506774902344,3,2749,,,,
0.15694260597229004,3,2799,,,,
0.1170172393321991,3,2849,,,,
0.21044719219207764,3,2899,,,,
0.2297639399766922,3,2949,,,,
0.05945390835404396,3,2999,,,,
0.14468565583229065,3,3049,,,,
0.1028282418847084,3,3099,,,,
0.14070160686969757,3,3149,,,,
0.25373178720474243,3,3199,,,,
0.22136297821998596,3,3249,,,,
0.10431474447250366,3,3299,,,,
0.14286985993385315,3,3349,,,,
0.2078133076429367,3,3399,,,,
,3,3435,0.17832325398921967,0.9477999806404114,,
,3,3435,,,0.9459582567214966,
0.17416347563266754,4,3449,,,,
0.2456357628107071,4,3499,,,,
0.21876521408557892,4,3549,,,,
0.16516883671283722,4,3599,,,,
0.07511245459318161,4,3649,,,,
0.1539594978094101,4,3699,,,,
0.0736396461725235,4,3749,,,,
0.18395620584487915,4,3799,,,,
0.09897509962320328,4,3849,,,,
0.06709505617618561,4,3899,,,,
0.1451452523469925,4,3949,,,,
0.14610789716243744,4,3999,,,,
0.32248374819755554,4,4049,,,,
0.2465147227048874,4,4099,,,,
0.09441086649894714,4,4149,,,,
0.10894975066184998,4,4199,,,,
0.18322761356830597,4,4249,,,,
,4,4294,0.160458043217659,0.9531999826431274,,
,4,4294,,,0.9547075033187866,
0.07759112864732742,5,4299,,,,
0.16006863117218018,5,4349,,,,
0.0716656893491745,5,4399,,,,
0.08533898741006851,5,4449,,,,
0.2373494654893875,5,4499,,,,
0.17502543330192566,5,4549,,,,
0.09290901571512222,5,4599,,,,
0.10544849187135696,5,4649,,,,
0.2702270448207855,5,4699,,,,
0.27495673298835754,5,4749,,,,
0.18181823194026947,5,4799,,,,
0.18862953782081604,5,4849,,,,
0.08801223337650299,5,4899,,,,
0.06849377602338791,5,4949,,,,
0.09897474199533463,5,4999,,,,
0.2356022298336029,5,5049,,,,
0.051654595881700516,5,5099,,,,
0.18063122034072876,5,5149,,,,
